nombre_estacion,estacion,latitude,longitude
Mixcoac,Linea 12,19.3757967002,-99.1877081963
Zapata,Linea 12,19.3705202583,-99.1648166498
Eje Central,Linea 12,19.3614164661,-99.1516874947
Mexicaltzingo,Linea 12,19.3575230891,-99.1214990292
Culhuacán,Linea 12,19.3377244141,-99.1090561035
Periférico Oriente,Linea 12,19.3184873296,-99.0766395304
Tezonco,Linea 12,19.3067404089,-99.067064238
Olivos,Linea 12,19.3038901565,-99.05805216
Nopalera,Linea 12,19.299001749,-99.0431616159
Moctezuma,Linea 1,19.4271332532,-99.1103616129
San Lázaro,Linea 1,19.4302219578,-99.1142868671
Salto del Agua,Linea 1,19.4269202702,-99.1432083395
Insurgentes,Linea 1,19.4235735877,-99.1630228711
Sevilla,Linea 1,19.421775731,-99.1707242768
Observatorio,Linea 1,19.3982147213,-99.2003998677
Tacuba,Linea 2,19.4594834227,-99.1888511051
Popotla,Linea 2,19.4525951099,-99.1750800034
Colegio Militar,Linea 2,19.4489838061,-99.1715980633
San Cosme,Linea 2,19.4420422015,-99.1610384028
Zócalo,Linea 2,19.4330189547,-99.1322965506
Pino Suárez,Linea 2,19.425825756,-99.1331228599
Chabacano,Linea 2,19.409032433,-99.1356717407
Ermita,Linea 2,19.3618185402,-99.1429742999
General Anaya,Linea 2,19.3532586139,-99.1449881216
La Raza,Linea 3,19.4686293297,-99.139012775
Guerrero,Linea 3,19.4446131162,-99.145201195
Juárez,Linea 3,19.4332619052,-99.1476786992
Etiopía,Linea 3,19.3954822792,-99.1560082582
Viveros,Linea 3,19.3540509007,-99.1753961361
Copilco,Linea 3,19.3361231843,-99.1765381663
Santa Anita,Linea 4,19.4028723528,-99.1217049588
Morelos,Linea 4,19.4395767912,-99.1181500371
La Raza,Linea 5,19.4696491366,-99.1367932056
Misterios,Linea 5,19.4632772474,-99.1307751872
Consulado,Linea 5,19.4550242901,-99.1137327219
Eduardo Molina,Linea 5,19.451339656,-99.1055814601
Oceanía,Linea 5,19.4453434833,-99.0872967981
Pantitlán,Linea 5,19.4150169414,-99.0741564388
Azcapotzalco,Linea 6,19.49074525,-99.1863838957
Ferrería,Linea 6,19.4906463846,-99.1739577028
Camarones,Linea 7,19.4789659527,-99.1901565147
Refinería,Linea 7,19.4699024156,-99.1905771065
Tacuba,Linea 7,19.4593468814,-99.1887760295
San Joaquín,Linea 7,19.4457858719,-99.1917402468
Polanco,Linea 7,19.4334618752,-99.1910546888
San Pedro los Pinos,Linea 7,19.3911042674,-99.1859710496
Bellas Artes,Linea 8,19.4371710118,-99.1406381902
San Juan Letrán,Linea 8,19.4311250315,-99.1415947121
Santa Anita,Linea 8,19.4046498081,-99.1210470062
Aculco,Linea 8,19.3732140302,-99.1077261815
Escuadrón 201,Linea 8,19.3647901656,-99.1095064198
Iztapalapa,Linea 8,19.3578048629,-99.0934145838
Pantitlán,Linea 9,19.4149425572,-99.072019868
Velódromo,Linea 9,19.4084503851,-99.1018606857
Mixiuhca,Linea 9,19.4082996983,-99.1130366636
Jamaica,Linea 9,19.4089901799,-99.1217259948
Chabacano,Linea 9,19.4084809602,-99.1342235365
Chilpancingo,Linea 9,19.4058298767,-99.1686267244
Tacubaya,Linea 9,19.4028150088,-99.1868492126
Agrícola Oriental,Linea A,19.4044909879,-99.0692558155
Canal de San Juan,Linea A,19.3986601997,-99.0591774365
Guelatao,Linea A,19.3851076925,-99.0356214611
Plaza Aragón,Linea B,19.5285530049,-99.0303827345
Impulsora,Linea B,19.4856752768,-99.0492557016
Villa de Aragón,Linea B,19.4616374713,-99.0616868595
Bosque de Aragón,Linea B,19.4580647247,-99.0695847629
Oceanía,Linea B,19.4456635265,-99.0874892178
San Lázaro,Linea B,19.4323360317,-99.1132080801
Morelos,Linea B,19.4380434241,-99.119113946
Lagunilla,Linea B,19.4432090451,-99.1311143062
Garibaldi,Linea B,19.4439864371,-99.1401874832
Guerrero,Linea B,19.4452622332,-99.1476958619
Insurgentes Sur,Linea 12,19.3737328486,-99.1790878624
20 de Noviembre,Linea 12,19.3722924936,-99.1711384808
Parque de los Venados,Linea 12,19.3705415172,-99.1567335428
Ermita,Linea 12,19.3600608132,-99.1433444365
Atlalilco,Linea 12,19.3549571115,-99.1055729834
San Andrés Tomatlán,Linea 12,19.3224512112,-99.0977359177
Tlaltenco,Linea 12,19.2942272512,-99.0211743233
Gómez Farías,Linea 1,19.4164667993,-99.0903730993
Blvd. Puerto Aéreo,Linea 1,19.4196465464,-99.0962779864
Candelaria,Linea 1,19.4289957193,-99.1208802689
Merced,Linea 1,19.4253085136,-99.1245027646
Pino Suárez,Linea 1,19.425825756,-99.1331228599
Isabel la Católica,Linea 1,19.4262195095,-99.1374259366
Cuauhtémoc,Linea 1,19.4257069267,-99.1548408448
Chapultepec,Linea 1,19.4207138685,-99.1762303944
Tacubaya,Linea 1,19.402979696,-99.1869080463
Panteones,Linea 2,19.4588091958,-99.2033226553
Hidalgo,Linea 2,19.4375545344,-99.14753677
Bellas Artes,Linea 2,19.4363623122,-99.1419101551
San Antonio Abad,Linea 2,19.418503499,-99.1341909398
Villa de Cortés,Linea 2,19.3873581752,-99.1390380402
Nativitas,Linea 2,19.3793883893,-99.1402475071
Portales,Linea 2,19.3700477936,-99.1415595494
Tlatelolco,Linea 3,19.4546942207,-99.1429206369
Niños Héroes,Linea 3,19.41948544,-99.1503702785
Hospital General,Linea 3,19.4134607562,-99.1538678732
Eugenia,Linea 3,19.3857282455,-99.1572630799
Zapata,Linea 3,19.3706923942,-99.1648061769
Miguel A. de Quevedo,Linea 3,19.3466867026,-99.1806795061
Jamaica,Linea 4,19.41100058,-99.1217830158
Fray Servando,Linea 4,19.4217096889,-99.1204856829
Candelaria,Linea 4,19.4286844641,-99.119418268
Bondojito,Linea 4,19.4647370888,-99.1118913012
Martín Carrera,Linea 4,19.4849316961,-99.1044078717
Autobuses del Norte,Linea 5,19.4789310674,-99.1409136157
Terminal Aérea,Linea 5,19.4339604988,-99.0877179708
Hangares,Linea 5,19.4238840116,-99.087338618
Tezozomoc,Linea 6,19.4949574875,-99.1965094895
Norte 45,Linea 6,19.4886709254,-99.1628403638
Vallejo,Linea 6,19.4902378691,-99.15547593
Inst. del Petróleo,Linea 6,19.4908001982,-99.1471816159
Deptvo. 18 de Marzo,Linea 6,19.483413056,-99.1262077084
Martín Carrera,Linea 6,19.4852297266,-99.104591787
Aquiles Serdán,Linea 7,19.4900140991,-99.1950139978
Tacubaya,Linea 7,19.4028150088,-99.1868492126
Garibaldi,Linea 8,19.4433003628,-99.1395713382
Salto del Agua,Linea 8,19.42707757,-99.142130403
Chabacano,Linea 8,19.4100300537,-99.1340941355
Iztacalco,Linea 8,19.3883953766,-99.112028545
Apatlaco,Linea 8,19.3790389974,-99.1095042536
Atlalilco,Linea 8,19.356215841,-99.1013091088
U A M  I,Linea 8,19.3507199374,-99.074631895
Puebla,Linea 9,19.4071888616,-99.0824348267
Ciudad Deportiva,Linea 9,19.4082233789,-99.0920636112
Lázaro Cárdenas,Linea 9,19.4071269335,-99.1447092437
Patriotismo,Linea 9,19.4060444903,-99.1789601136
Pantitlán,Linea A,19.4156140869,-99.0716186153
Peñón Viejo,Linea A,19.3732756363,-99.0170179068
Santa Marta,Linea A,19.3602808472,-98.9952588064
La Paz,Linea A,19.3504296784,-98.9609176681
Ciudad Azteca,Linea B,19.5345708751,-99.0277207069
Olímpica,Linea B,19.5215009927,-99.0334660021
Ecatepec,Linea B,19.5151347063,-99.0362894249
Múzquiz,Linea B,19.5016064203,-99.042192835
Nezahualcóyotl,Linea B,19.4729960536,-99.0547586767
Romero Rubio,Linea B,19.4406159676,-99.0948016259
Lomas Estrella,Linea 12,19.322153,-99.095718
San Andrés Tomatlán,Linea 12,19.3283441351,-99.1064685127
Calle 11,Linea 12,19.3204948635,-99.0868183773
Zapotitlán,Linea 12,19.2965606194,-99.0349278076
Tláhuac,Linea 12,19.2839137389,-99.0149778097
Pantitlán,Linea 1,19.416331829,-99.0747266967
Zaragoza,Linea 1,19.4117445802,-99.0821024864
Balbuena,Linea 1,19.4230661405,-99.1020494179
Balderas,Linea 1,19.4270307325,-99.1490158302
Juanacatlán,Linea 1,19.4125486327,-99.182140654
Cuatro Caminos,Linea 2,19.4595213593,-99.2158971635
Cuitláhuac,Linea 2,19.4574938004,-99.181850516
Normal,Linea 2,19.4447764243,-99.1676156302
Revolución,Linea 2,19.4391298136,-99.1541002344
Allende,Linea 2,19.4355483641,-99.1374723532
Viaducto,Linea 2,19.4007714899,-99.1369651274
Xola,Linea 2,19.3949430678,-99.1378721565
Tasqueña,Linea 2,19.3438177625,-99.1419343123
Indios Verdes,Linea 3,19.4952232414,-99.1195023109
Deptvo. 18 de Marzo,Linea 3,19.4850214378,-99.1255506931
Potrero,Linea 3,19.4769786967,-99.1321801174
Hidalgo,Linea 3,19.4370117686,-99.1468788132
Balderas,Linea 3,19.4270307325,-99.1490158302
Centro Médico,Linea 3,19.4075629285,-99.1550980831
División del Norte,Linea 3,19.3798049376,-99.1589939539
Coyoacán,Linea 3,19.3613975505,-99.1708661037
Universidad,Linea 3,19.3244054114,-99.1739130713
Canal del Norte,Linea 4,19.4488718754,-99.116125032
Consulado,Linea 4,19.4579411324,-99.1138913596
Talismán,Linea 4,19.4741387596,-99.108025454
Politécnico,Linea 5,19.5005612232,-99.1494952429
Inst. del Petróleo,Linea 5,19.4892375796,-99.1449832632
Valle Gómez,Linea 5,19.4588181509,-99.1194435363
Aragón,Linea 5,19.4511968681,-99.096523711
El Rosario,Linea 6,19.5046693132,-99.1997511144
Lindavista,Linea 6,19.4875079096,-99.1347213202
La Villa-Basilica,Linea 6,19.4814569186,-99.117865692
El Rosario,Linea 7,19.5037872515,-99.2013934881
Auditorio,Linea 7,19.4254243116,-99.1919214965
Constituyentes,Linea 7,19.4116066881,-99.1912732772
San Antonio,Linea 7,19.3850795191,-99.1865560415
Mixcoac,Linea 7,19.3760868333,-99.1878212054
Barranca del Muerto,Linea 7,19.3606472405,-99.1893847656
Doctores,Linea 8,19.4214431494,-99.1432488554
Obrera,Linea 8,19.4130879549,-99.1440817174
La Viga,Linea 8,19.4064725087,-99.1262804613
Coyuya,Linea 8,19.3982758253,-99.11332126
Cerro de la Estrella,Linea 8,19.3561550634,-99.0856588172
Constitución de 1917,Linea 8,19.3459618362,-99.0638685
Centro Médico,Linea 9,19.4064572084,-99.1551926527
Tepalcates,Linea A,19.3913589563,-99.0463216074
Acatitla,Linea A,19.3646873444,-99.0057596586
Los Reyes,Linea A,19.3590028446,-98.9769645119
Río de los Remedios,Linea B,19.4909502302,-99.0468935014
Deportivo Oceanía,Linea B,19.4510576348,-99.0795128481
Ricardo Flores Magón,Linea B,19.4365072738,-99.1039374804
Tepito,Linea B,19.442497616,-99.1235866762
Buenavista,Linea B,19.4464014494,-99.1531622142
